image,Born,Person,description,occupation,position held,country of citizenship,given name,UpdatedAt
,2005-06-01,Rashed Nawaf,tennis and tennis player (*2005) ♂,tennis tennis player,,,,2020-06-01
,2004-06-01,Krisia Todorova,Bulgarian singer,singer,,Bulgaria,,2020-06-01
,2004-06-01,Miyu Honda,"child actress, figure skater",actor model child actor figure skater,,Japan,Miyu,2020-06-01
,2003-06-01,Emjay Anthony,American actor,actor film actor model,,United States of America,,2020-06-01
,2003-06-01,Shailyn Pierre-Dixon,Canadian actor,actor,,Canada,,2020-06-01
,2002-06-01,Vaania Kapoor Achuthan,Indian swimmer,swimmer,,India,,2020-06-01
,2002-06-01,Nutakki Priyanka,Indian female chess player,chess player,,India,,2020-06-01
,2002-06-01,Hailey Esther Kops,figure skater,figure skater,,,,2020-06-01
,2002-06-01,Orla Prendergast,Cricketer (*2002) ♀,cricketer,,,,2020-06-01
,2002-06-01,Mohamed Khalil Jendoubi,Tunisian taekwondo practitioner,taekwondo athlete,,,,2020-06-01
,2001-06-01,Ed Oxenbould,Australian actor,child actor film actor actor television actor,,Australia,Ed,2020-06-01
,2001-06-01,Anika Schwörer,Swiss volleyball player,volleyball player,,Switzerland,,2020-06-01
,2001-06-01 2001,Daiki Matsuoka,Japanese association football player,association football player,,,,2020-06-01
,2001-06-01,Ivan Mesík,association football player (*2001) ♂,association football player,,,,2020-06-01
,2001-06-01,Mauro Maureira,"Argentinian-born, Chilean football player",association football player,,,,2020-06-01
,2000-06-01,Nadezhda Misyakova,Belarussian female singer,singer,,Belarus,Nadzeya Nadezhda,2020-06-01
,2000-06-01,Willow Shields,American actress,actor television actor film actor,,United States of America,Willow,2020-06-01
,2000-06-01,Tabea Botthof,Ice hockey player (*2000) ♀,ice hockey player,,,,2020-06-01
,2000-06-01,Ludovit Reis,Dutch footballer,association football player,,Kingdom of the Netherlands,Ľudovít,2020-06-01
,2000-06-01,Tomoe Zenimoto Hvas,Norwegian swimmer,swimmer,,Norway,Tomoe,2020-06-01
,2000-06-01,Ondřej Štyler,Czech tennis player (2000-),tennis player,,Czech Republic,Ondřej,2020-06-01
,2000-06-01,Diana Ciucă,Romanian handball player,handball player,,Romania,Diana,2020-06-01
,2000-06-01,Rocket Watts,athlete (*2000) ♂,athlete,,,,2020-06-01
,2000-06-01,Ekaterina Shalimova,Russian tennis player,tennis player,,Russia,,2020-06-01
